company,model,voltage,capacity,type
Panasonic Energy,HHR150AA,1.2V,1580 mAh,Nickel Metal Hydride
US Electronics Inc.,Batter0y,1.2 V,1650 mAh,
B B Battery,BK200AAB,,1980 mAh,Nickel Metal Hydride
US Electronics Inc.,HR-4/5AU,1.2 V,2150 mAh,
Panasonic Energy,HHR380A,1.2V,3800 mAh,Nickel Metal Hydride
Cornell Dubilier Knowles,HR-4/3AU,1.2 V,4000 mAh,
Power Sonic Corporation,PSC-6500A-C,9 V,4.50 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Energizer Battery Company,NH22-175,9V,175 mAh,Nickel Metal Hydride
B B Battery,PS-1220,12V,2.50 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Power Sonic Corporation,75V/cell,12 V,2.30Ah,Lead Acid (VRLA)
Power Sonic Corporation,PS-1270,15.0V,7.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Power Sonic Corporation,PS-1270,15.0V,7.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PS-1290,12V,9.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Energizer Battery Company,NH15-2300,,2300 mAh,Nickel Metal Hydride
B B Battery,PS-12180,12V,18.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PS-12180,12V,18.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PS-12550,12V,55.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,BK80AAAB,,,Nickel Metal Hydride
Panasonic Energy,BK60AAAHU,,,Nickel Metal Hydride
B B Battery,PSC-6300A-C,6V,1.20 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PSC-6500A-C,6V,3.50 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Power Sonic Corporation,0600M7H022086405211,9 V,7.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PS-1230,12V,3.40 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Cornell Dubilier Knowles,Batter0y,1.2 V,1200 mAh,
US Electronics Inc.,Batter0y,1.2 V,3000 mAh,
Panasonic Energy,HHR210A,1.2V,2200 mAh,Nickel Metal Hydride
B B Battery,BK200AAB,,1980 mAh,Nickel Metal Hydride
Energizer Battery Company,NH15-2300,,2300 mAh,Nickel Metal Hydride
Panasonic Energy,BK300SCP,,,Nickel Metal Hydride
Power Sonic Corporation,TPBAT12-9,12V,8.5Ah,Sealed Lead Acid (SLA)
Power Sonic Corporation,PSC-124000-PC,12V,36.0 AH,
B B Battery,PS-1250,15.0V,4.50 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PS-1250,15.0V,4.50 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
B B Battery,PS-6100,6V,12.00 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
Power Sonic Corporation,PS-12350,3 V,35.0 AH,"Sealed Lead Acid (SLA, VRLA, AGM)"
